v1,v2
spam,Let's go for a walk in the evening.
ham,Your order has been shipped and will arrive soon.
ham,Happy Birthday! Have a great day.
spam,How was your day?
ham,Can you send me the report by tonight?
spam,Your subscription is about to expire. Renew now!
spam,Your subscription is about to expire. Renew now!
ham,Urgent! Your bank account has been compromised. Verify now!
spam,"Hey, are we still meeting for lunch today?"
spam,See you at the party tonight!
ham,Don't forget to submit the assignment.
spam,Click here to claim your lottery prize.
ham,Earn $5000 per week from home! Sign up now.
spam,How was your day?
spam,Congratulations! You've won a free iPhone. Click here to claim.
ham,Get cheap medicines online. No prescription needed!
spam,See you at the party tonight!
spam,Let's catch up this weekend.
ham,"Limited time offer! Buy one, get one free!"
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,Winner! You have been selected for a $500 gift card.
ham,Click here to claim your lottery prize.
ham,How was your day?
spam,Don't forget to submit the assignment.
spam,Don't forget to submit the assignment.
spam,Urgent! Your bank account has been compromised. Verify now!
spam,Get cheap medicines online. No prescription needed!
spam,"You are pre-approved for a $10,000 loan. Apply now."
spam,Congratulations! You've won a free iPhone. Click here to claim.
ham,"You are pre-approved for a $10,000 loan. Apply now."
spam,Earn $5000 per week from home! Sign up now.
spam,Let's catch up this weekend.
ham,"You are pre-approved for a $10,000 loan. Apply now."
ham,Exclusive deal! 50% off on all products.
ham,"Limited time offer! Buy one, get one free!"
ham,"You are pre-approved for a $10,000 loan. Apply now."
ham,Can you send me the report by tonight?
ham,Winner! You have been selected for a $500 gift card.
spam,Can you send me the report by tonight?
spam,Urgent! Your bank account has been compromised. Verify now!
spam,Exclusive deal! 50% off on all products.
ham,Winner! You have been selected for a $500 gift card.
ham,How was your day?
spam,Your subscription is about to expire. Renew now!
spam,Happy Birthday! Have a great day.
ham,Winner! You have been selected for a $500 gift card.
ham,See you at the party tonight!
spam,Click here to claim your lottery prize.
ham,Earn $5000 per week from home! Sign up now.
spam,Your subscription is about to expire. Renew now!
ham,Your order has been shipped and will arrive soon.
spam,See you at the party tonight!
ham,"Hey, are we still meeting for lunch today?"
ham,Can you send me the report by tonight?
ham,Congratulations! You've won a free iPhone. Click here to claim.
ham,Urgent! Your bank account has been compromised. Verify now!
ham,Let's catch up this weekend.
ham,Happy Birthday! Have a great day.
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,See you at the party tonight!
spam,Can you send me the report by tonight?
spam,See you at the party tonight!
ham,"You are pre-approved for a $10,000 loan. Apply now."
ham,See you at the party tonight!
spam,How was your day?
ham,Exclusive deal! 50% off on all products.
spam,Exclusive deal! 50% off on all products.
ham,Get cheap medicines online. No prescription needed!
spam,Get cheap medicines online. No prescription needed!
ham,Let's go for a walk in the evening.
spam,Your subscription is about to expire. Renew now!
ham,"Limited time offer! Buy one, get one free!"
ham,"Limited time offer! Buy one, get one free!"
ham,See you at the party tonight!
spam,Let's go for a walk in the evening.
ham,See you at the party tonight!
ham,Earn $5000 per week from home! Sign up now.
ham,See you at the party tonight!
ham,"You are pre-approved for a $10,000 loan. Apply now."
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,Click here to claim your lottery prize.
spam,Exclusive deal! 50% off on all products.
spam,Earn $5000 per week from home! Sign up now.
spam,How was your day?
ham,Click here to claim your lottery prize.
ham,Your subscription is about to expire. Renew now!
spam,How was your day?
ham,Get cheap medicines online. No prescription needed!
spam,Let's catch up this weekend.
ham,Can you send me the report by tonight?
spam,Can you send me the report by tonight?
spam,Iâ€™ll call you back in 10 minutes.
spam,Happy Birthday! Have a great day.
ham,Urgent! Your bank account has been compromised. Verify now!
ham,How was your day?
ham,Can you send me the report by tonight?
ham,Can you send me the report by tonight?
spam,Click here to claim your lottery prize.
ham,Congratulations! You've won a free iPhone. Click here to claim.
ham,Congratulations! You've won a free iPhone. Click here to claim.
spam,Let's catch up this weekend.
ham,"Hey, are we still meeting for lunch today?"
spam,"You are pre-approved for a $10,000 loan. Apply now."
spam,See you at the party tonight!
spam,See you at the party tonight!
ham,Urgent! Your bank account has been compromised. Verify now!
spam,Get cheap medicines online. No prescription needed!
ham,Exclusive deal! 50% off on all products.
ham,See you at the party tonight!
spam,Winner! You have been selected for a $500 gift card.
ham,Iâ€™ll call you back in 10 minutes.
ham,Winner! You have been selected for a $500 gift card.
ham,"You are pre-approved for a $10,000 loan. Apply now."
ham,Exclusive deal! 50% off on all products.
ham,Let's catch up this weekend.
spam,How was your day?
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,Get cheap medicines online. No prescription needed!
ham,See you at the party tonight!
spam,Can you send me the report by tonight?
ham,Your order has been shipped and will arrive soon.
ham,Happy Birthday! Have a great day.
spam,Happy Birthday! Have a great day.
spam,Winner! You have been selected for a $500 gift card.
spam,Let's catch up this weekend.
ham,"Hey, are we still meeting for lunch today?"
ham,Let's go for a walk in the evening.
ham,Congratulations! You've won a free iPhone. Click here to claim.
spam,Iâ€™ll call you back in 10 minutes.
ham,Click here to claim your lottery prize.
ham,Congratulations! You've won a free iPhone. Click here to claim.
spam,Get cheap medicines online. No prescription needed!
spam,Winner! You have been selected for a $500 gift card.
ham,Iâ€™ll call you back in 10 minutes.
spam,Can you send me the report by tonight?
spam,Urgent! Your bank account has been compromised. Verify now!
ham,Happy Birthday! Have a great day.
ham,How was your day?
ham,Let's catch up this weekend.
ham,How was your day?
spam,Urgent! Your bank account has been compromised. Verify now!
ham,Congratulations! You've won a free iPhone. Click here to claim.
ham,Get cheap medicines online. No prescription needed!
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,"You are pre-approved for a $10,000 loan. Apply now."
ham,How was your day?
spam,Congratulations! You've won a free iPhone. Click here to claim.
ham,"You are pre-approved for a $10,000 loan. Apply now."
ham,Winner! You have been selected for a $500 gift card.
spam,"You are pre-approved for a $10,000 loan. Apply now."
spam,Your order has been shipped and will arrive soon.
ham,See you at the party tonight!
ham,Exclusive deal! 50% off on all products.
spam,Urgent! Your bank account has been compromised. Verify now!
spam,Let's catch up this weekend.
ham,Let's go for a walk in the evening.
ham,Exclusive deal! 50% off on all products.
spam,Iâ€™ll call you back in 10 minutes.
spam,Your order has been shipped and will arrive soon.
spam,See you at the party tonight!
spam,Urgent! Your bank account has been compromised. Verify now!
ham,Exclusive deal! 50% off on all products.
ham,Let's go for a walk in the evening.
spam,Happy Birthday! Have a great day.
spam,Let's catch up this weekend.
spam,"Hey, are we still meeting for lunch today?"
spam,"Hey, are we still meeting for lunch today?"
ham,Happy Birthday! Have a great day.
ham,See you at the party tonight!
spam,Urgent! Your bank account has been compromised. Verify now!
ham,Don't forget to submit the assignment.
ham,Click here to claim your lottery prize.
ham,Let's catch up this weekend.
spam,Winner! You have been selected for a $500 gift card.
spam,Let's go for a walk in the evening.
ham,Click here to claim your lottery prize.
spam,Get cheap medicines online. No prescription needed!
ham,"Limited time offer! Buy one, get one free!"
ham,Happy Birthday! Have a great day.
spam,How was your day?
ham,Iâ€™ll call you back in 10 minutes.
ham,Winner! You have been selected for a $500 gift card.
spam,See you at the party tonight!
ham,Iâ€™ll call you back in 10 minutes.
ham,Exclusive deal! 50% off on all products.
ham,Your order has been shipped and will arrive soon.
ham,Happy Birthday! Have a great day.
spam,Earn $5000 per week from home! Sign up now.
spam,Your subscription is about to expire. Renew now!
spam,Your subscription is about to expire. Renew now!
ham,"You are pre-approved for a $10,000 loan. Apply now."
spam,"Hey, are we still meeting for lunch today?"
ham,Don't forget to submit the assignment.
spam,Happy Birthday! Have a great day.
spam,"Limited time offer! Buy one, get one free!"
ham,Click here to claim your lottery prize.
ham,Can you send me the report by tonight?
ham,Your subscription is about to expire. Renew now!
spam,Congratulations! You've won a free iPhone. Click here to claim.
ham,Can you send me the report by tonight?
ham,Congratulations! You've won a free iPhone. Click here to claim.
spam,Don't forget to submit the assignment.
spam,Get cheap medicines online. No prescription needed!
ham,Can you send me the report by tonight?
spam,Get cheap medicines online. No prescription needed!
ham,Click here to claim your lottery prize.
ham,"Limited time offer! Buy one, get one free!"
spam,Can you send me the report by tonight?
spam,Get cheap medicines online. No prescription needed!
ham,Winner! You have been selected for a $500 gift card.
spam,Let's go for a walk in the evening.
spam,Urgent! Your bank account has been compromised. Verify now!
spam,Let's go for a walk in the evening.
ham,Can you send me the report by tonight?
ham,"Limited time offer! Buy one, get one free!"
spam,Can you send me the report by tonight?
spam,Congratulations! You've won a free iPhone. Click here to claim.
ham,Winner! You have been selected for a $500 gift card.
spam,Your subscription is about to expire. Renew now!
spam,Let's go for a walk in the evening.
spam,Winner! You have been selected for a $500 gift card.
ham,Let's go for a walk in the evening.
ham,Don't forget to submit the assignment.
spam,Iâ€™ll call you back in 10 minutes.
spam,Let's catch up this weekend.
ham,Exclusive deal! 50% off on all products.
ham,"You are pre-approved for a $10,000 loan. Apply now."
spam,Can you send me the report by tonight?
spam,Let's catch up this weekend.
spam,Get cheap medicines online. No prescription needed!
spam,Winner! You have been selected for a $500 gift card.
ham,Iâ€™ll call you back in 10 minutes.
spam,Happy Birthday! Have a great day.
ham,See you at the party tonight!
ham,Earn $5000 per week from home! Sign up now.
spam,How was your day?
spam,Exclusive deal! 50% off on all products.
ham,How was your day?
spam,Don't forget to submit the assignment.
spam,Don't forget to submit the assignment.
ham,Your subscription is about to expire. Renew now!
spam,Your order has been shipped and will arrive soon.
spam,Let's catch up this weekend.
ham,Your subscription is about to expire. Renew now!
